Molarity,NaCl,Sucrose,Arginine,pH,Buffer,Concentration (mg/mL),Formulation ID,Base Value,Predicted Value
1.1733935445187786e-09,1.1655656213343118e-11,-3.266934628742664e-09,1.8147370653237367e-08,1.793954752268845e-09,1.4294386723559912e-08,-1.0054921252341836e-08,14,3.012718037819096e-07,3.2337070923062335e-07
-1.78730607979539e-08,6.894082374674231e-10,-2.6373694583792004e-09,2.264293251806864e-09,7.289282643158977e-09,-1.0310262576620778e-08,1.286312871574093e-08,15,3.012718037819096e-07,2.935572237971299e-07
-1.84947296825441e-08,6.698346457752753e-10,-2.645328884628685e-09,1.8455877882792051e-09,7.269149167703601e-09,-1.0627351244895556e-08,7.34533306442949e-09,15,3.012718037819096e-07,2.8663429863602883e-07
-1.952911639571477e-08,6.197562994513512e-10,-2.6395596616193575e-09,8.815798006574229e-10,7.1451716777510325e-09,-1.1151098478149068e-08,-4.183163586283154e-09,15,3.012718037819096e-07,2.7241537343800306e-07
-2.0203549110057716e-08,5.593700558761744e-10,-2.605795008982762e-09,-1.6904723202056258e-10,6.922051880714279e-09,-1.1485304158416065e-08,-1.541018194617448e-08,15,3.012718037819096e-07,2.588793482628485e-07
1.0902083914651562e-08,7.254175561591076e-11,-3.877017617652437e-09,2.798639232985057e-09,-1.280499335704389e-08,1.587221963856852e-08,1.2060450347552158e-08,16,3.012718037819096e-07,3.2629572769658646e-07
1.1017233880439209e-08,4.4760996932911177e-11,-3.878416448808734e-09,1.9247739294980007e-09,-1.309392449548316e-08,1.607012182494873e-08,7.052995977982794e-09,16,3.012718037819096e-07,3.2040934944741934e-07
1.109336153729824e-08,-1.1383558914457946e-11,-3.847200185662137e-09,1.6753413356766396e-10,-1.3568872534131015e-08,1.6285855430408775e-08,-3.76643797785781e-09,16,3.012718037819096e-07,3.0762466062661884e-07
1.0959490292590659e-08,-6.37039055735084e-11,-3.774014526358872e-09,-1.459989218092466e-09,-1.387158400445833e-08,1.6244246802294304e-08,-1.4762109327917376e-08,16,3.012718037819096e-07,2.94544139894394e-07
1.612876739358552e-08,1.2418733998776887e-10,-5.522519247981425e-09,4.661748877771949e-09,-8.33180601708992e-09,-4.594870311005329e-09,1.1731209165543249e-08,17,3.012718037819096e-07,3.154685209827214e-07
1.6304059000729412e-08,1.2071942105855577e-10,-5.576319781686064e-09,4.309553559719346e-09,-8.779637378412768e-09,-4.615389317839833e-09,6.942491429470666e-09,17,3.012718037819096e-07,3.099772807149489e-07
1.6403679999243447e-08,1.1109151928178205e-10,-5.6230331442815366e-09,3.4029384159392627e-09,-9.71009078245751e-09,-4.616712054391577e-09,-3.588387788785817e-09,17,3.012718037819096e-07,2.9765128994645766e-07
1.6163986495466877e-08,9.870199626471927e-11,-5.585816061961605e-09,2.3051345345439872e-09,-1.0615003345534859e-08,-4.565094519811447e-09,-1.4511635072228295e-08,17,3.012718037819096e-07,2.84562077808649e-07
7.1429535803186484e-09,-2.125209181424697e-10,-5.035539827543919e-10,1.580435280977267e-08,-8.099864455507756e-09,5.985484515566624e-09,9.448323637981075e-09,18,3.012718037819096e-07,3.30836978969144e-07
7.138483343816549e-09,-2.4341375405092075e-10,-5.177321575832486e-10,1.6599390671747632e-08,-8.576390796956312e-09,6.124241979128727e-09,5.723758860687574e-09,18,3.012718037819096e-07,3.2752014192869957e-07
7.011373035362628e-09,-3.0091342285079033e-10,-5.475760000649165e-10,1.794756599899808e-08,-9.615151199742465e-09,6.347405454450057e-09,-2.774277551109213e-09,18,3.012718037819096e-07,3.1934023009695297e-07
